,Cloudiness (%),Humidity (%),Latitude,Temperature (F),Wind Speed (mph)
0,0,10,33.06,62.13,5.82
1,80,95,51.52,39.32,10.65
2,20,52,39.23,19.4,2.24
3,75,100,53.4,37.8,8.05
4,0,86,44.72,27.5,6.93
5,75,76,44.24,50.0,8.05
6,20,53,55.57,21.2,11.18
7,75,88,-4.01,77.0,4.7
8,36,80,-33.12,80.41,0.92
9,90,63,43.17,27.48,6.4
10,1,86,40.92,38.25,6.93
11,75,100,50.1,35.6,5.95
12,0,30,-35.32,95.0,8.05
13,90,100,43.75,25.75,5.17
14,40,100,51.59,41.04,11.41
15,92,96,54.05,40.4,4.16
16,68,100,-7.51,79.96,18.7
17,24,94,-23.62,73.48,9.98
18,92,96,53.68,41.26,3.15
19,75,89,61.9,37.4,6.93
20,12,75,15.44,84.05,3.27
21,44,56,-26.22,84.01,7.74
22,0,93,37.6,39.2,1.12
23,0,92,47.96,26.6,4.7
24,90,100,32.62,41.0,2.26
25,1,68,40.44,25.0,8.05
26,0,86,49.57,42.82,8.05
27,92,100,39.93,33.88,13.22
28,75,100,50.81,38.59,4.7
29,0,92,45.67,14.0,2.37
30,40,93,53.0,37.4,6.93
31,20,79,40.61,26.6,5.82
32,36,53,10.7,75.2,4.7
33,75,100,53.65,41.0,2.24
34,1,42,39.87,23.81,5.82
35,48,90,39.66,15.38,6.06
36,0,93,48.11,39.2,4.7
37,75,74,5.34,87.8,3.36
38,92,100,50.12,39.92,3.36
39,92,99,-21.3,63.71,4.5
40,0,76,43.29,46.27,3.36
41,75,100,53.18,42.06,8.05
42,64,78,-35.5,78.2,1.14
43,68,89,44.96,16.82,4.94
44,1,44,42.42,19.4,14.99
45,92,93,49.26,44.58,3.36
46,90,100,51.56,41.0,1.12
47,75,100,53.93,41.72,2.24
48,44,79,53.94,2.11,9.64
49,90,100,51.02,42.8,9.17
50,0,93,47.82,40.98,5.82
51,90,100,44.77,45.63,3.36
52,75,94,47.55,32.0,11.41
53,0,74,50.26,30.2,8.05
54,75,100,53.66,39.11,8.05
55,8,87,6.02,65.56,3.94
56,76,88,50.46,13.67,6.96
57,48,93,59.04,39.79,11.41
58,92,85,59.97,17.05,20.94
59,0,100,41.19,34.52,1.12
60,75,100,53.2,40.57,5.82
61,0,74,50.05,30.2,8.05
62,0,100,48.4,37.4,2.24
63,68,87,50.95,44.6,9.17
64,75,93,51.14,42.37,4.7
65,1,86,44.56,27.73,13.87
66,92,79,-6.78,86.8,20.83
67,8,100,10.41,82.07,9.19
68,1,57,40.53,23.56,2.26
69,0,93,43.76,43.99,3.36
70,75,93,49.29,41.52,5.82
71,90,81,49.03,43.43,5.82
72,92,98,-20.83,56.51,2.04
73,0,52,48.55,-7.61,13.42
74,20,73,7.17,75.2,10.29
75,8,43,-36.25,96.79,4.05
76,90,67,34.33,23.0,15.66
77,20,38,33.44,39.22,12.75
78,75,100,53.78,41.0,2.24
79,92,87,51.68,44.6,9.17
80,75,100,52.01,42.76,2.24
81,92,87,51.55,42.19,6.93
82,8,100,41.5,32.08,10.87
83,80,79,-7.02,81.62,3.38
84,0,86,45.58,36.27,3.36
85,8,81,28.57,-4.11,1.14
86,64,40,54.88,10.75,3.83
87,40,91,47.38,37.4,11.41
88,75,100,54.32,39.79,2.24
89,40,100,43.85,38.32,8.05
90,80,93,42.35,40.42,2.24
91,68,94,42.21,33.2,11.65
92,1,53,40.82,22.24,4.7
93,1,80,34.76,37.02,3.38
94,40,79,-8.64,84.2,10.29
95,75,100,40.13,42.8,10.29
96,68,76,20.05,48.41,7.29
97,75,70,10.2,86.0,12.75
98,0,56,17.48,83.56,8.08
99,90,81,49.98,43.77,5.82
100,1,34,33.37,50.02,8.05
101,75,93,53.26,37.85,3.36
102,12,100,47.14,37.45,3.36
103,0,92,47.47,27.52,4.7
104,12,86,47.5,33.84,3.36
105,40,66,36.62,50.0,17.22
106,92,86,54.78,19.39,14.9
107,90,57,55.67,21.2,13.42
108,75,80,38.13,33.8,4.7
109,40,100,38.3,41.97,8.05
110,92,93,48.7,44.17,10.29
111,0,79,10.8,78.79,14.45
112,0,93,47.0,40.93,5.82
113,90,93,44.31,45.45,2.24
114,90,100,46.64,26.6,2.24
115,92,98,-20.93,56.51,2.04
116,92,86,45.21,41.0,4.7
117,68,96,-8.67,68.26,4.05
118,1,60,38.73,43.18,13.87
119,68,87,50.95,44.6,9.17
120,0,58,20.0,57.86,2.93
121,40,93,42.38,40.01,1.12
122,0,71,18.32,77.26,2.71
123,1,85,41.18,27.32,4.7
124,0,63,-33.08,58.59,10.29
125,20,86,43.07,29.97,4.7
126,0,51,44.63,4.09,13.0
127,0,81,40.7,46.4,2.24
128,75,86,47.68,33.8,1.12
129,75,100,50.67,41.56,3.36
130,75,87,41.32,50.0,1.12
131,12,62,6.44,64.75,2.93
132,20,93,48.32,42.8,5.82
133,88,86,34.54,20.87,9.64
134,64,25,-41.53,87.8,14.99
135,24,92,44.49,18.5,3.04
136,90,85,53.62,14.0,10.29
137,88,85,24.79,37.39,9.98
138,90,81,49.84,43.81,5.82
139,75,100,48.37,36.5,2.24
140,1,68,40.83,26.64,3.38
141,1,100,33.3,34.63,3.83
142,20,100,47.29,37.35,8.3
143,0,86,36.85,45.5,5.82
144,80,93,48.51,35.6,2.24
145,0,55,45.95,2.96,8.08
146,88,88,52.64,26.27,12.1
147,12,60,8.08,79.33,13.22
148,40,88,48.35,37.4,11.41
149,75,64,26.94,67.91,25.28
150,40,81,24.33,53.6,3.36
151,75,81,48.13,40.8,5.82
152,0,91,41.58,30.86,10.09
153,36,98,-2.88,52.33,2.93
154,36,76,-14.13,71.05,6.4
155,20,93,38.81,44.6,3.36
156,0,93,30.54,44.6,3.36
157,1,75,34.45,44.8,6.93
158,56,86,50.84,23.3,2.71
159,40,100,51.44,40.62,11.41
160,90,86,31.39,28.4,8.95
161,68,66,50.09,8.36,1.36
162,0,77,-37.67,75.1,10.98
163,1,86,32.54,39.34,5.39
164,92,76,44.05,54.05,18.34
165,20,76,39.05,46.15,5.82
166,36,99,12.52,82.07,8.52
167,1,100,35.43,30.16,5.84
168,92,93,48.59,46.4,8.05
169,0,38,11.58,58.81,7.18
170,90,93,51.75,35.92,8.05
171,80,100,53.15,40.12,4.7
172,92,93,53.28,42.35,3.94
173,0,78,-27.67,74.83,6.62
174,92,93,48.98,45.12,3.36
